course_name,course_code,description,learning_objectives,level,faculty,program,url
Chemical Reactor Engineering,4052CHREKY,"- Design equations for ideal reactors
- Conversion and selectivity in ideal reactors
- Reactors in series and recycle reactor
- Relation among kinetics, reaction networks and reactor performance
- Heat effects: Adiabatic reactor operation
- Non-ideal reactors and residence time distribution
- Basics of catalytic reactions","The student is able to:
- Apply mass and energy balances to chemical reactors
- Have a notion of the characteristics of basic reactor types
- Predict/calculate the conversion and selectivity
- Design & select a chemical reactor
- Predict optimal reaction conditions
- Extract the kinetics of the reactions from experiments
- Use and apply numerical techniques, next to back of the envelope calculations",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Chemical Reactor Engineering,4052CHREKY,"- Design equations for ideal reactors
- Conversion and selectivity in ideal reactors
- Reactors in series and recycle reactor
- Relation among kinetics, reaction networks and reactor performance
- Heat effects: Adiabatic reactor operation
- Non-ideal reactors and residence time distribution
- Basics of catalytic reactions","The student is able to:
- Apply mass and energy balances to chemical reactors
- Have a notion of the characteristics of basic reactor types
- Predict/calculate the conversion and selectivity
- Design & select a chemical reactor
- Predict optimal reaction conditions
- Extract the kinetics of the reactions from experiments
- Use and apply numerical techniques, next to back of the envelope calculations",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
"Energy, Recycling and Safety",4052ENRV6,"The energy, recycling and safety course focuses on the safe and sustainable use of energy and raw materials. It consists of a
theoretical framework and teamwork (5-6 students per team).
Topics to be discussed are:
Energy:
- Relationship between availability of energy and prosperity / well-being
- World primary energy consumption, fossil energy
- Population growth; carrying capacity of the earth
- Earth energy balance, greenhouse effect, climate change
- The ""Energy transition"". Learning curves renewable energy technologies (PV, Wind etc), energy storage, material intensity
renewable energy
- ""Renewable Energy for Industry (IEA)""
Recycling:
- Main classes of materials
- Plastics and recycling (application dependent, types of plastics)
- Biobased plastics (what can you do with them, what was the intention)
- The various types of reuse ""downcycling"", ""recycling"" & ""upcycling"" (lower, same, higher value after reuse)
- Aspects related to total fraction of fossil => polymers (approx. 5% max.10%, CO2 footprint)
- Design of products versus reusability (e.g. PET, nylon = OK, metallized laminate packaging film = NOT OK)
- Pro's and con's of polymers/plastics, replacement/alternatives, dilemmas, context in society
Safety:
-Introduction to risk and safety, conceptual framing and typing
-Risk Management: Safety history, legislation, risk management models, location-related risk calculation and group risk
-Process safety, safety in the process industry: what is specific to it, what are new trends? What are major accidents that have
been compromised and the lessons learned?
-Human and Organisational Factors of Safety (HOFS): Safety Culture (climate) and framing in performance management
-Risk Analysis Techniques: discussion, classification
Academic skills:
- written reporting (structure, structure and argumentation - report)
- teamwork","1. Knowledge
a. The student is familiar with the material covered in the themes of energy, recycling and safety and can answer questions about
this
b. The student is familiar with the way in which a report/article/publication must be set up.
2. Insight and understanding
a. The student is able to propose solutions for current issues
b. The student is able to develop new ideas
c. The student is able to model certain aspects.
3. Apply the substance
a. The student is able to apply the subject matter of the course to issues from current practice.
b. The student is able to make the correct assumptions for modeling the practical situation.
c. The student is able to work out a topic on an academic level in a team and to present this in a good (scientific or popular)
article/publication/report.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Physiological Chemistry,4052FYSC6,"The course physiological chemistry is concerned with biochemical processes in relation to diseases. The student will be taught
the molecular and cellular basis of acquired and inheritable anomalies in lipids, proteins, sugars and nucleic acids.","1. Knowledge
The student is familiar with the basic terms of physiological chemistry.
2. Insight and understanding
The student will be given insight into the cellular molecular processes engaged in: protein synthesis, control and degradation,
metabolism of lipids and sugars, hormonal regulation of metabolism and its connection to the brain, by using concrete examples.
3. Application and analysis
The student is capable of applying the taught material on questions and cases from physiological chemistry.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Physical Chemistry and Kinetics (FCK),4052FYSCKY,"Component Physical Chemistry:
Ideal and real solutions; electrolyte solutions (thermodynamics, activities); electrochemistry (Nernst equation, different kinds of
cells, fuel cells, batteries); transport (diffusion, migration); electrode kinetics (Butler-Volmer, kinetics and transport)
Component Kinetics:
Kinetic gas theory; elementary chemical kinetics: reaction rate equations based on elementary reactions, sequential and parallel
reaction steps, (perturbation of) equilibria and temperature dependence; kinetics of complex reactions: pre-equilibrium,
Lindemann mechanism, homogeneous, heterogeneous and enzymatic catalysis, radical reactions and explosions; the build up of
surface potentials, elementary molecular reaction dynamics. Complex kinetic processes are being actively studied by applying
the requisite mathematical models, with the aid of, e.g.: Excel and / or Maple. To this effect, each student receives homework
exercises.","Component Physical Chemistry:
Upon completion of the course, the student:
- knows the properties of an ideal solution and is able to formulate deviations of ideal behaviour;
- knows the thermodynamic behaviour of electrolyte solutions and can apply the Debye-Hueckel theory;
- can apply the Nernst equation and is able to differentiate between different kinds of electrochemical cells;
- understands the molecular basis of transport, diffusion and migration;
- is knowledgeable about the elementary aspects of the kinetics of electrode reactions;
- is able to apply simple mathematical models of chemical reactions at electrochemical and catalytic surfaces, in combination
with mass transport.
Component Kinetics
Upon completion of the course, the student:
- is able to correctly assimilate, with MS Excel, experimental data in order to determine kinetic parameters, such as the order of
a reaction, reaction rate constants and activation barriers;
- is able to correctly interpret crucial aspects of reaction mechanisms on the basis of kinetic parameters;
- can produce a simple mathematical model of a reaction mechanism with Maple, calculate a solution and display this
graphically;
- can describe, in a semi-quantitative way, the build up of, and the movement on, a potential surface.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Physical Transport Phenomena (FTV),4052FYSTRY,"Physical Transport phenomena forms the basis for many process technology courses. The course includes background and
concepts with which physical/chemical processes and phenomena can be described/modeled.
The college begins with the preservation laws of mass, energy and impulse. Be further dealt with:
-Laws of Fick, Fourier and Newton
-Dimension analysis; dimensionless Key Figures
-Stationary and transient heat and mass transport (1-dimensional)
-Heat transfer and mass transport over a phase boundary
-Pressure drop calculation over a tube (system), laminar and turbulent flow","The goal of the course is that the student:
-knows the general recipe for the preparation of a mass, energy and impulse balance can apply to practical situations
-is able to designate the transport mechanisms
-is able to apply the substance of the college to issues of physical/chemical practice.
-is able to make the right assumptions for modeling practical situation.
-able to work models quantitatively.
-is able to assess certain choice on their plausibility.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Physical Transport Phenomena (FTV),4052FYSTRY,"Physical Transport phenomena forms the basis for many process technology courses. The course includes background and
concepts with which physical/chemical processes and phenomena can be described/modeled.
The college begins with the preservation laws of mass, energy and impulse. Be further dealt with:
-Laws of Fick, Fourier and Newton
-Dimension analysis; dimensionless Key Figures
-Stationary and transient heat and mass transport (1-dimensional)
-Heat transfer and mass transport over a phase boundary
-Pressure drop calculation over a tube (system), laminar and turbulent flow","The goal of the course is that the student:
-knows the general recipe for the preparation of a mass, energy and impulse balance can apply to practical situations
-is able to designate the transport mechanisms
-is able to apply the substance of the college to issues of physical/chemical practice.
-is able to make the right assumptions for modeling practical situation.
-able to work models quantitatively.
-is able to assess certain choice on their plausibility.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Catalysis (KAT),4052KATALY,"The student is offered a kaleidoscopic view of catalysis. Similarities and disparities between different kinds of catalysis are
illustrated with a number of reactions that can be catalysed in different ways. Examples are the reduction of nitrogen oxide, the
oxidation of carbon monoxide, the hydrolysis of nitriles and the selective reduction of carbon-carbon double- and triple bonds.
Emphasis is on the basic principles.","Upon completion of the course, the student:
- is knowledgeable about a number of catalytic processes, both homogeneous, heterogeneous, bio-catalytic and electrocatalytic;
- has obtained insight in the most important similarities and dissimilarities, advantages and disadvantages and range of
application of the four different areas of application of catalysis;
- is skilled in the application of the principles of chemical reaction kinetics to catalytic processes and mechanisms;
- has a clear understanding of the mode of action, the molecular mechanism, the preparation, the characterisation and the stability
of a number of catalysts and catalytic processes in the four areas of catalysis;
- knows about the possibilities to immobilize a catalyst;
- is well aware of the important applications of catalysis in industry.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Linear Algebra and Differential Equations,4052LADIFY,"First-order differential equations (emphasis on separable and linear differential equations), matrix algebra, Systems of linear
equations, Gauss's elimination method, determinants, vectors in Rn, linear transformations, eigenvalues, eigenspaces, matrix
diagonalization, higher-order differential equations, systems of differential equations (emphasis on linear and autonomous
systems), Laplace transformation, step functions, Dirac delta function, Fourier series , partial differential equations (emphasis on
the heat equation, the wave equation and the Laplace equation)","The student is able to:
1) perform the elementary matrix operations
2) solve a system of linear equations systematically
3) find the matrix representation of a linear transformation
4) determine the determinant, the eigenvalues and the eigenspaces of a square matrix and decide whether a square matrix is
diagonalizable or not
5) solve linear differential equations using the Laplace transformation
6) solve systems of linear differential equations and visualize the typical solution curves
7) determine the Fourier series of a periodic function and solve simple partial differential equations",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Linear Algebra and Differential Equations,4052LADIFY,"First-order differential equations (emphasis on separable and linear differential equations), matrix algebra, Systems of linear
equations, Gauss's elimination method, determinants, vectors in Rn, linear transformations, eigenvalues, eigenspaces, matrix
diagonalization, higher-order differential equations, systems of differential equations (emphasis on linear and autonomous
systems), Laplace transformation, step functions, Dirac delta function, Fourier series , partial differential equations (emphasis on
the heat equation, the wave equation and the Laplace equation)","The student is able to:
1) perform the elementary matrix operations
2) solve a system of linear equations systematically
3) find the matrix representation of a linear transformation
4) determine the determinant, the eigenvalues and the eigenspaces of a square matrix and decide whether a square matrix is
diagonalizable or not
5) solve linear differential equations using the Laplace transformation
6) solve systems of linear differential equations and visualize the typical solution curves
7) determine the Fourier series of a periodic function and solve simple partial differential equations",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Research Project 2,4052LEON2,"Students independently carry out experiments in the field of a current research of a research group at the universities of Leiden or
Delft.","The study goals for Research Project 2 are part of the Leren Onderzoeken (Learning Research) learning line for practical
research, and follow up on Basic Laboratory Skills Course and Research Project 1.
a. The student can find relevant scientific articles and books independently and critically assess their content.
b. The student can design and prepare an experiment independently. Takes proactive measurements to ensure safety.
c. The student can independently conduct an experiment and document it properly using a lab journal/notebook.
d. The student can critically analyse and interpret observations and data acquired in the lab and state how reliable these results
are.
e. The student shows a productive attitude (effort, motivation, enthusiasm) and shows that they can work in a multicultural and
multidisciplinary team. The student actively seeks out the attendant to discuss results.
f. The student can independently write a report (10 pages) and provide arguments and defences for their results.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Chemical Product Design,4052LEON3,"The Chemical Product Design course provides insight into the aspects that play a role in the development of chemical products.
Teams of 5-6 students work on designing a product. The goal is to effectively use the creativity and acquired knowledge about
chemical engineering of the team to develop an innovative but realistic new product.
The following topics are covered in the course:
-Working efficiently in a team
-Aspects that are important for product design
-The relationship between product properties and physico-chemical composition
-Development of physico-chemical models to describe product properties.
-Identifying customer needs
-Generating new ideas.
-Selecting the most promising idea.
-Developing a new product.
The course mimics the situation in a chemical company, where a new product is developed. Your team is a group of engineers
who have received this task from their manager. The role of the manager is played by a staff member of the Chemical
Engineering Department (the mentor).","1. General Skills
A. The student can work (creatively) in a team.
B. The student is able to report the results of the (team) work in writing, to present and to discuss orally.
2. Knowledge
A. The student is familiar with the basic concepts of product design.
3. Understanding
A. The student is able to indicate the relationship between physical-chemical properties and product properties.
B. The student is able to identify a new product.
4. Application and analysis of the content
A. The student is able to apply the content of the lecture in the field of chemical process/product technology.
B. The student is able to make a quantitative physico-chemical model of relevant product characteristics.
5. Synthesis and evaluation
A. Using the knowledge and skills acquired in this course the student is able to design new products.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Bachelor Thesis Project,4052LEON4,Students work individually on a project in the context of ongoing research at one of the research groups.,"1. Literature Review/study:
Is able to study relevant scientific literature and to look up data sources and assess them by value.
2. Preparing/Setting up research:
-Is able to prepare experiments (formulation research question, setting up research plan)
-Environment and safety: can work safely with chemicals, taking into account their physical and chemical properties, including
any specific hazards associated with the use of these materials
-Is skilled in making a risk analysis of the use of chemicals
3. Collecting/Generating Research data:
-Is able to perform standard laboratory prescriptions
-May carry out observations and measurements under limited supervision, as well as their correct reporting (including a well-
kept lab journal)
4. Analysing and processing of research material:
-He/she can interpret the observations and data obtained in the laboratory and relate it to existing and/or an appropriate theory
-Ethics: Has an understanding of his/her professional and ethical responsibility
5. Working posture and teamwork
-Dedication, motivation, enthusiasm, creativity
-Able to function in a (multicultural and multidisciplinary) team
-Is able to actively participate, cooperate effectively, effectively discuss.
6. Reporting:
-Able to report in writing and orally with attention to requirements for scientific communication and accountability
-Able to communicate effectively in Dutch and English, using modern presentation techniques",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
